src_ip,dst_ip,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,orig_p,resp_p,proto,service,conn_state
192.168.1.55,201.39.125.156,0.0995823619648819,141.02566862669804,0.0,4,0,59004,22,icmp,ssh,S0
192.168.1.195,12.15.209.150,1.1037490078456422,5243.290744789876,3927.761806952197,9,12,12077,22,icmp,dns,SF
192.168.1.204,150.252.115.78,0.3578388200316663,138.14996212396156,0.0,3,0,10479,23,icmp,ssl,S0
192.168.1.58,177.24.246.142,0.0730391666769198,199.97734772331577,0.0,2,0,36678,22,icmp,ssh,S0
192.168.1.86,10.0.0.15,0.0269338045443533,1101.627389533898,47.77184300280318,48,3,8194,22,udp,ssh,SF
192.168.1.190,26.61.31.168,1.1136793106434515,1918.86286362303,220.1332449502003,3,2,31764,80,udp,dhcp,SH
192.168.1.127,4.252.109.131,1.5211504942748797,2717.5737795555215,3145.8576185128873,48,28,7207,53,icmp,-,S0
192.168.1.204,174.52.4.85,12.532984453817503,95.25143766747722,161.20163286311754,3,3,46104,2323,udp,ssh,S0
192.168.1.104,68.138.170.159,1.926003668117104,586.0914393857383,111.25278068296429,18,5,19054,2323,icmp,dhcp,SH
192.168.1.151,229.215.184.118,0.6071640830701142,171.80725823387291,0.0,1,0,2144,22,udp,ssh,S0
192.168.1.82,169.211.194.231,1.2439416542047597,1866.817909299179,11469.226648919168,3,23,25055,2323,udp,-,RSTO
192.168.1.228,199.70.143.90,0.3277073070702632,181.9209698279111,0.0,2,0,48953,8080,tcp,http,S0
192.168.1.130,235.92.244.104,2.9985727965169193,879.0896687494802,2886.93036297707,4,2,33286,8080,udp,dns,SF
192.168.1.241,18.146.47.132,0.2441838546056345,2907.932509386382,6321.054060188411,9,34,24876,2323,tcp,ssh,RSTO
192.168.1.222,121.132.67.137,0.0927863403630786,294.0272415610026,140.4080235690038,5,1,59765,443,udp,ssl,SF
192.168.1.55,63.225.46.72,0.0147339502214097,118.86473308242552,0.0,3,0,27980,443,icmp,ssl,S0
192.168.1.25,10.0.0.15,0.0005154912692356,1205.633628681212,44.87854267651867,61,0,63854,80,udp,ssl,RSTR
192.168.1.104,10.0.0.15,0.0014836691898033,1264.450627527381,53.05872055096028,88,0,42661,53,tcp,http,SF
192.168.1.69,41.93.111.192,2.003217334810655,1737.8773425707768,6524.799618246216,4,15,25451,53,tcp,http,RSTO
192.168.1.61,221.209.223.179,2.1326153079801444,5192.251393653867,684.1652603534048,3,6,21382,23,udp,ssh,SF
192.168.1.229,27.102.181.170,1.0822291355506095,125.44359074794882,92.56484466326164,2,3,35419,2323,udp,dns,RSTR
192.168.1.70,179.170.126.255,0.0570929471627083,75.01269747548311,141.42994617624666,6,3,43980,23,udp,ssh,RSTR
192.168.1.15,10.0.0.10,0.0101418517850093,1198.8339644111184,48.03009351785685,64,2,43522,443,icmp,http,S0
192.168.1.253,130.236.159.46,0.7450352575543641,659.5848544759456,1106.4223114409165,4,4,4477,23,tcp,dns,RSTO
192.168.1.73,10.0.0.20,0.0082523205907639,1276.4478235325712,38.888361872559024,32,0,22376,8080,udp,http,SH
192.168.1.152,10.0.0.10,0.0015495042191501,910.3744621806312,50.63856301334143,17,1,58496,2323,icmp,dhcp,RSTR
192.168.1.242,10.0.0.10,0.0049478094285208,1138.921805491413,40.22662440781279,99,1,3171,23,tcp,dhcp,REJ
192.168.1.52,39.32.121.126,0.0011877589453837,95.80686385800038,45.3162145159106,10,1,19179,2323,udp,dns,SH
192.168.1.62,103.93.213.176,0.4937791205107609,147.6142753035627,528.8109844115352,2,1,22408,2323,icmp,ssl,S0
192.168.1.214,10.0.0.20,0.0430975167567612,1074.2131844091111,42.3982694488478,77,2,62850,8080,udp,ssh,SF
192.168.1.203,10.0.0.15,0.0253823807571203,1104.3823116850351,60.87464174031497,66,0,14074,80,icmp,ssh,SH
192.168.1.94,228.62.66.137,0.0831581677541984,113.46679965981554,0.0,1,0,17219,443,icmp,dns,S0
192.168.1.110,8.34.232.244,16.79864222830425,32.78734827915875,305.3633754441775,2,2,50008,2323,icmp,-,S0
192.168.1.154,179.128.199.59,0.5100460351670186,137.4981364237782,128.05763491900237,3,2,60329,80,icmp,http,RSTO
192.168.1.106,57.133.251.99,0.106154067053847,125.29413352228632,0.0,4,0,31442,80,tcp,dns,S0
192.168.1.156,143.173.193.167,0.1889904904730043,141.792333826274,0.0,1,0,57561,2323,icmp,-,S0
192.168.1.227,146.47.225.91,0.4096950150910504,935.2146937397594,2402.41880356934,17,20,65070,53,tcp,http,S0
192.168.1.139,114.216.86.126,0.4219066460037473,293.1422363537712,45.24477488654368,3,1,39699,443,icmp,ssl,SH
192.168.1.246,199.84.16.144,11.702679357393125,127.8440088981244,76.75254830207406,3,3,37356,8080,udp,dhcp,REJ
192.168.1.56,221.89.186.114,0.9807236572467748,1319.0674727273831,4245.620239198845,8,7,28089,22,tcp,ssl,RSTR
192.168.1.61,10.0.0.15,0.0175094566956057,1162.7059479569864,68.48350629267426,78,0,62369,23,icmp,ssh,S0
192.168.1.56,204.62.189.223,0.0066033976959365,156.7398582178881,0.0,4,0,22963,23,icmp,-,S0
192.168.1.143,109.124.227.202,0.1473075735168245,140.99621470297177,0.0,1,0,10107,2323,icmp,dns,S0
192.168.1.2,244.45.71.205,0.1893620687863587,875.6741935900942,18240.291696723783,10,19,32487,53,icmp,http,REJ
192.168.1.47,233.161.250.112,0.0780669846151736,145.0496272889699,0.0,4,0,1362,2323,icmp,http,S0
192.168.1.23,109.185.145.3,0.0085094951537102,120.21707164201744,0.0,4,0,28247,23,udp,dhcp,S0
192.168.1.183,10.0.0.10,0.0250933620000241,1197.3205653364337,56.1802871098362,23,4,28008,443,icmp,http,SH
192.168.1.7,150.155.102.99,21.597317951466927,889.9308711662882,107.59528896908962,3,2,2082,8080,tcp,ssl,S0
192.168.1.144,2.153.67.107,8.30309668864543,69.44210185849636,72.15491776214348,2,2,35642,8080,icmp,ssh,RSTR
192.168.1.110,119.142.237.180,0.0015947581145247,170.85217671272974,0.0,4,0,18649,8080,icmp,http,S0
192.168.1.149,49.198.129.237,0.4317890782569028,335.01304900907814,72.56503401988432,2,2,46949,22,tcp,ssl,SF
192.168.1.146,133.213.22.150,6.6983731978325,227.996669597649,217.55276478494343,3,3,38370,23,icmp,http,SH
192.168.1.165,250.212.9.227,1.6963726067049874,809.3844101199433,177.79995286614425,3,15,44432,443,icmp,dns,RSTO
192.168.1.53,10.0.0.15,0.0086435174135266,1303.133999426431,66.83927691457869,75,1,46374,443,udp,http,REJ
192.168.1.37,46.249.18.119,0.1980606543336451,176.2613703117743,0.0,4,0,9310,8080,udp,http,S0
192.168.1.150,155.78.44.37,4.570238307909033,3263.1045638766464,10685.081775584864,34,12,35081,8080,tcp,dns,SH
192.168.1.149,232.116.102.216,0.1353115356490208,170.0676552843988,0.0,4,0,26185,22,udp,dhcp,S0
192.168.1.52,183.77.15.178,0.1287388699505686,35.918394339135986,420.94055211721854,5,2,41366,2323,icmp,http,S0
192.168.1.96,10.0.0.10,0.0222466995878631,1204.4350557499067,38.23872522010929,47,2,27456,8080,udp,http,S0
192.168.1.30,111.76.198.155,0.0306095636526209,136.4151616657312,0.0,3,0,18053,53,udp,dhcp,S0
192.168.1.94,49.57.211.45,0.0170120741572854,138.43446172071725,0.0,2,0,47199,8080,tcp,dns,S0
192.168.1.251,155.223.3.120,0.1927270533381147,136.51171371179746,0.0,3,0,63306,8080,udp,ssl,S0
192.168.1.226,145.62.77.227,6.9245132848061495,142.37008539808198,214.2411536523428,3,2,28594,53,icmp,-,RSTO
192.168.1.155,206.55.20.176,13.801289766354028,229.06133932624147,78.19989088638773,17,3,16756,53,udp,ssh,S0
192.168.1.214,181.18.45.249,0.1417894674573733,152.82014959398074,0.0,2,0,23247,80,udp,ssh,S0
192.168.1.33,236.27.140.162,0.0073582943697515,139.79013560844808,0.0,2,0,5519,8080,tcp,ssl,S0
192.168.1.126,54.216.57.59,6.2849503246988,23.949085181362943,554.8870700902179,3,4,28788,23,udp,dhcp,S0
192.168.1.169,10.0.0.10,0.0061541617150599,1078.2603881010734,59.15390275560162,62,1,28437,22,udp,http,SF
192.168.1.223,186.164.183.27,0.4477543553195396,88.24760957266471,49.36396562155884,2,2,7728,23,tcp,dhcp,RSTO
192.168.1.80,61.76.191.56,2.8302893272109904,313.0157679246073,104.4657541465204,5,3,17685,23,icmp,dhcp,S0
192.168.1.220,135.247.225.252,0.2683641914791203,359.2596536808413,31.107661617750313,3,4,35545,22,icmp,ssl,RSTR
192.168.1.149,97.96.166.181,1.1205386721762371,414.83551572796466,77.28430227223696,3,3,49241,22,icmp,http,RSTO
192.168.1.173,97.5.113.108,20.586505250561608,56.13994559270899,396.3586498276218,3,1,4540,8080,udp,dhcp,REJ
192.168.1.85,215.197.36.166,2.158436307575346,26.288376839591084,629.1305532387149,5,2,18739,80,udp,ssl,S0
192.168.1.230,213.242.80.116,0.0179878657015279,145.3313440271221,0.0,1,0,58632,443,tcp,ssh,S0
192.168.1.104,71.82.135.171,0.0467223201360732,116.89874015333626,0.0,4,0,30255,8080,udp,dhcp,S0
192.168.1.203,80.77.40.32,0.873942445366517,55.26783896130659,253.3516756328222,2,3,56214,22,tcp,dhcp,SF
192.168.1.240,222.158.55.88,0.0394198135120101,111.90111091978724,0.0,1,0,5749,8080,tcp,http,S0
192.168.1.69,29.140.187.173,0.062852638078594,1076.7435309531231,5409.256403444951,3,14,22324,53,icmp,dhcp,RSTO
192.168.1.154,10.0.0.10,0.0174603022214878,1139.1649235320665,55.925303073177616,95,4,18516,53,udp,ssl,REJ
192.168.1.148,120.42.101.225,0.0737587000804329,150.28298529931516,0.0,2,0,19659,22,udp,http,S0
192.168.1.34,32.222.67.94,0.5688147618323042,247.9505217777319,4791.69317700088,12,5,56820,22,tcp,dhcp,RSTO
192.168.1.20,131.159.188.81,4.624747976592281,441.27350017506734,688.1302389719791,1,1,29465,443,udp,dns,REJ
192.168.1.69,35.190.208.30,2.145216508519874,317.42802338579025,175.86722103714203,3,3,6975,22,icmp,dhcp,REJ
192.168.1.15,172.97.158.100,2.0442372903136152,900.0630120865923,7684.318131883314,2,5,46137,53,tcp,ssl,REJ
192.168.1.175,191.133.191.15,7.55028438535453,915.9381591495832,702.1593838063599,5,3,57565,8080,udp,ssl,S0
192.168.1.61,10.0.0.20,0.004018188012513,1275.4997797244737,48.22267878729345,97,4,20139,8080,icmp,http,RSTO
192.168.1.16,10.0.0.15,0.009974211970742,977.6387969004468,50.9990554390241,79,0,18093,23,tcp,ssl,SH
192.168.1.242,10.0.0.15,0.0062406621646648,1289.706619688713,62.748750412787224,39,2,10301,80,icmp,dhcp,RSTO
192.168.1.51,48.177.135.240,2.480036161120012,47.87277538885082,12.000658790206774,3,8,12445,443,udp,ssl,RSTR
192.168.1.244,42.69.194.172,0.0110853550809546,149.92794921818864,0.0,2,0,31835,23,icmp,dhcp,S0
192.168.1.181,116.59.101.163,0.0493503236300758,135.68398474517122,0.0,3,0,61265,22,tcp,dhcp,S0
192.168.1.140,214.5.231.113,3.282573605190803,85.94912502646238,219.59918655197737,2,2,23764,443,icmp,dns,SH
192.168.1.104,10.0.0.15,0.0210355705731989,938.0701050499068,38.449109095606765,81,4,40667,22,tcp,http,REJ
192.168.1.128,83.52.32.231,0.0954693140368253,89.84735320612485,0.0,2,0,62488,23,icmp,dns,S0
192.168.1.167,18.71.111.88,5.968875818364541,624.3771997686181,73.57461217782615,3,2,24983,23,icmp,http,RSTR
192.168.1.115,220.129.95.232,0.1526458171656329,134.60462244238246,0.0,4,0,24315,80,icmp,-,S0
192.168.1.50,10.0.0.20,0.0082248189310068,1363.092918126294,59.56440348347622,91,2,61627,23,tcp,dns,RSTO
192.168.1.248,251.201.248.123,0.1461996132013433,400.80968245087325,6728.1574055024375,3,14,64083,53,udp,-,RSTR
192.168.1.79,10.0.0.15,0.0589176398410235,1364.3690495252238,52.88653930807484,17,4,32109,23,icmp,-,SF
192.168.1.32,241.12.113.140,1.1869763605422343,356.41598045689267,471.9152300818394,10,3,1306,443,udp,dns,S0
192.168.1.18,86.140.198.156,0.8823878555328672,348.91298901138697,28058.10627739166,9,8,18798,2323,tcp,ssh,RSTR
192.168.1.127,38.10.89.99,0.0140504058635733,147.0210541020056,0.0,2,0,13670,443,tcp,ssh,S0
192.168.1.241,174.252.250.217,1.265410338659267,159.11905005216514,396.8285432266244,4,2,49553,2323,tcp,http,SF
192.168.1.18,10.0.0.20,0.0076586781782654,1142.16860770727,40.8944215526012,22,2,34743,53,udp,dhcp,RSTO
192.168.1.114,213.112.79.51,5.198653079226236,187.23420711843664,370.0339624307602,2,2,65224,80,udp,-,SF
192.168.1.194,26.67.47.11,0.3902247708750888,146.64885321197548,0.0,2,0,27052,443,icmp,ssh,S0
192.168.1.161,255.154.181.195,1.334069652119786,60.58220440009068,58.505385264631165,4,2,33351,2323,icmp,ssl,RSTO
192.168.1.245,57.102.159.168,0.0749852247999205,142.60605888057827,0.0,3,0,6620,2323,udp,dhcp,S0
192.168.1.119,80.240.253.11,2.7188624456540524,1682.9659503642106,11483.92569061004,19,16,53374,2323,tcp,ssh,SH
192.168.1.205,10.0.0.15,0.0158927450289189,1280.07480213233,55.19999075797811,50,4,47699,2323,tcp,ssh,RSTR
192.168.1.110,10.0.0.15,0.0152980787116462,1338.3145000872275,46.64587856305809,84,3,28985,8080,udp,ssl,SH
192.168.1.16,58.162.228.250,0.3944765248811752,49.34064063726879,241.6941961792724,4,2,37058,53,icmp,ssh,REJ
192.168.1.40,98.14.153.212,0.0026025386330002,140.80902117676487,0.0,1,0,65388,8080,icmp,-,S0
192.168.1.100,10.0.0.10,0.0055086305806449,1130.2126231384111,57.57266933535405,43,3,43595,80,tcp,-,SH
192.168.1.135,247.41.73.82,8.098407756131614,169.8765301373501,43.47841718908497,4,1,22696,22,icmp,dhcp,RSTO
192.168.1.95,238.222.219.8,0.0966885773867945,127.25717238927557,0.0,1,0,53940,23,icmp,dns,S0
192.168.1.135,10.0.0.20,0.02072828910652,1165.4606845329952,47.251012421143834,80,4,50834,443,tcp,-,SF
192.168.1.55,171.144.153.165,6.999496150581709,72.35291762105678,119.88738553555582,4,5,54362,443,icmp,http,RSTR
192.168.1.126,39.160.195.216,1.9330078377851705,3521.1699691874283,1262.0634163517814,9,6,3587,22,icmp,-,S0
192.168.1.229,145.214.63.121,0.4513326326293516,4014.848873742722,711.4578188672734,12,96,60149,53,udp,http,RSTO
192.168.1.95,41.163.178.234,0.4783626813416387,6725.533793908337,5469.127316135024,9,14,45285,2323,tcp,ssl,REJ
192.168.1.22,10.0.0.20,0.0012733576550908,1042.229790836714,54.711437497620906,48,3,21493,53,icmp,-,REJ
192.168.1.247,130.1.12.99,1.2900305980581883,86.32895110411744,408.3268124626003,1,3,2657,8080,tcp,http,RSTR
192.168.1.142,0.26.154.140,0.1106569692480761,151.49552535843938,0.0,2,0,33117,22,icmp,ssl,S0
192.168.1.250,19.39.241.189,0.1647544511832584,142.24070062185095,0.0,4,0,36542,8080,tcp,ssh,S0
192.168.1.223,10.0.0.15,0.0201062941749399,1413.6559128802726,55.514762752395235,31,3,19869,80,icmp,ssl,S0
192.168.1.16,188.89.69.134,0.0911863780458761,153.79695672424927,0.0,1,0,46277,23,udp,ssl,S0
192.168.1.45,10.0.0.10,0.0157308097486458,1102.216279962871,63.54019142371523,63,3,4992,2323,tcp,-,S0
192.168.1.25,237.38.98.234,0.3251523674358489,3527.0521702913647,817.0023668640699,1,8,27059,22,tcp,dns,SH
192.168.1.193,80.72.103.187,0.2888665028943468,792.7812984877396,98.35457166067226,4,1,43987,80,tcp,ssh,RSTR
192.168.1.30,241.238.219.164,0.0146878242480687,175.4918375058703,0.0,4,0,56645,23,tcp,dns,S0
192.168.1.199,33.125.101.161,0.3237040232941339,119.85561955351974,338.6944131367099,2,1,20032,53,udp,dhcp,SF
192.168.1.192,141.160.16.152,1.34237154195895,1468.3017825629802,11489.598843759277,53,38,13476,2323,icmp,-,S0
192.168.1.154,74.143.248.17,0.5430491879625932,148.34707063946718,0.0,4,0,56299,443,tcp,dns,S0
192.168.1.81,102.36.91.251,2.4213010807152453,93.79539276210312,516.1135945847791,3,3,27747,8080,udp,-,RSTO
192.168.1.168,199.254.227.160,0.4059336995209323,142.69803554518674,0.0,2,0,32129,80,tcp,dhcp,S0
192.168.1.91,17.156.78.164,0.0501826364836474,113.9372064748811,0.0,4,0,61372,22,icmp,dhcp,S0
192.168.1.180,141.237.249.252,0.0869765940983819,185.3754356651884,0.0,3,0,58008,23,tcp,dns,S0
192.168.1.68,171.115.41.92,0.2339330453568656,163.66837009246848,0.0,4,0,30540,2323,udp,ssl,S0
192.168.1.140,10.0.0.15,0.0272472892300011,1184.0253359634785,42.46035411133324,77,4,37402,22,icmp,ssh,RSTO
192.168.1.68,148.161.135.94,0.0235759485497628,169.57848013730847,0.0,2,0,31473,80,icmp,dhcp,S0
192.168.1.99,81.16.180.147,0.1125913797856164,119.023523240786,0.0,4,0,49113,8080,icmp,-,S0
192.168.1.171,10.0.0.15,0.0202269906527523,1139.703509984784,53.17908384095675,79,1,19283,80,icmp,http,RSTR
192.168.1.50,11.92.234.107,0.1135995593133941,160.74631315088408,0.0,3,0,58618,22,tcp,dns,S0
192.168.1.146,255.0.45.78,0.2028911888055396,332.47483621679515,182.3721752221697,3,1,46520,22,tcp,dns,SF
192.168.1.41,10.0.0.15,0.0100907413223978,1043.3650267035907,49.15437000856192,99,0,46764,23,tcp,-,SF
192.168.1.232,91.153.98.199,7.15341237752102,519.1604095863868,40.14209828265699,3,8,39429,22,udp,dhcp,SH
192.168.1.50,21.234.187.40,0.7044340754543663,253.9558673828501,30.848000754236622,2,3,14514,53,icmp,ssl,S0
192.168.1.202,116.123.109.187,0.1301759028345342,173.4694771497065,0.0,2,0,65052,22,udp,ssl,S0
192.168.1.164,213.136.66.223,11.29395257272963,205.23719365253496,130.3022752535121,3,3,6510,22,tcp,dhcp,RSTR
192.168.1.188,137.70.62.134,0.0351701821362915,118.97132111818696,0.0,4,0,9740,23,icmp,dhcp,S0
192.168.1.79,251.221.207.125,0.0131252043884681,110.81219547818512,0.0,3,0,51607,80,icmp,dns,S0
192.168.1.62,172.60.86.65,5.270810260863267,196.09891338616583,35.611421337233416,4,3,10807,8080,icmp,ssh,REJ
192.168.1.99,253.8.179.45,0.0606879170676191,161.82272235847864,0.0,2,0,46196,53,icmp,dhcp,S0
192.168.1.69,238.234.22.63,0.0030117227888809,163.4268015290093,0.0,4,0,16138,8080,icmp,ssh,S0
192.168.1.62,171.66.32.168,0.0478351364898805,178.9076937916587,0.0,4,0,47843,2323,tcp,dns,S0
192.168.1.160,85.206.229.220,3.228340024526159,459.8882260619498,314.278062750075,3,2,47570,23,tcp,dhcp,SH
192.168.1.198,10.0.0.15,0.0097309047535308,1029.6617560644845,49.44452301103381,97,4,8965,22,icmp,ssl,SH
192.168.1.110,139.104.112.182,0.2144071055146896,188.75108603924676,0.0,1,0,58472,443,icmp,dhcp,S0
192.168.1.57,123.244.112.67,0.0320498542867529,155.9315387706061,0.0,2,0,18972,53,tcp,http,S0
192.168.1.254,206.158.26.18,1.1239960172080123,2281.6390853043504,497.4747255359298,19,34,37051,23,tcp,dhcp,REJ
192.168.1.63,67.255.80.18,2.745653493256675,83.15819579412808,118.8829144068894,4,2,16306,53,icmp,dhcp,REJ
192.168.1.235,241.98.135.229,1.32775335343397,104.60760337966084,17.980727302227642,6,1,59537,2323,udp,dhcp,RSTO
192.168.1.145,223.237.44.68,0.0284142099979795,177.8494432588515,0.0,3,0,37459,443,udp,dhcp,S0
192.168.1.93,88.13.123.114,0.0691535240203652,133.0528494377471,0.0,4,0,38434,80,tcp,ssl,S0
192.168.1.79,73.115.45.109,1.076455508629092,996.2244610364132,442.1096366612156,7,6,20563,53,icmp,dns,S0
192.168.1.41,40.244.148.130,0.0507778094854678,147.3319828421691,0.0,1,0,35417,53,udp,http,S0
192.168.1.123,171.97.167.178,3.828231029378708,283.51569592229,23.133288224804165,5,1,55363,8080,icmp,dhcp,S0
192.168.1.73,89.228.182.114,1.378471253569082,1803.501365181599,852.7391788478656,24,18,30339,22,udp,dhcp,SF
192.168.1.146,77.200.42.31,0.0341696776032276,121.37607554842748,0.0,4,0,51140,80,tcp,ssh,S0
192.168.1.171,10.0.0.15,0.008489194230948,1142.7805929706556,42.09987197918924,64,1,25944,22,udp,ssh,SF
192.168.1.121,64.92.172.237,0.1449687004908373,144.02724416402964,0.0,3,0,41830,53,udp,dhcp,S0
192.168.1.211,141.250.106.87,1.8641486276414163,96.52898871335096,389.4952355820417,7,1,61643,8080,icmp,dhcp,REJ
192.168.1.198,10.0.0.10,0.005799221551065,1214.7540911865328,50.769884197248935,30,0,1651,8080,icmp,ssl,SF
192.168.1.159,145.176.225.218,12.365220381489673,254.3721007958768,37.03321785796278,4,4,18383,22,tcp,dns,SH
192.168.1.86,172.162.177.73,0.147745808128282,149.8182166643315,0.0,4,0,20969,80,tcp,http,S0
192.168.1.162,76.102.224.169,1.6784058352918043,372.01845363621135,14468.501859169071,8,25,55261,23,icmp,http,S0
192.168.1.141,107.101.166.165,0.784145438665941,790.2701244673999,818.6060204724897,6,20,2330,8080,udp,dhcp,REJ
192.168.1.169,251.242.64.81,0.9017962838169576,2282.382606722538,2926.558927427395,9,30,31161,23,udp,ssl,S0
192.168.1.44,104.10.192.123,3.038924085842262,3102.3174862781307,2900.030312899323,28,5,24496,2323,udp,dns,RSTO
192.168.1.145,2.121.182.167,9.497213438694288,276.49898333376893,47.520770170714385,5,2,52192,23,tcp,-,RSTO
192.168.1.57,247.253.86.71,5.944036066046295,258.0807934872908,90.580599597334,1,3,6493,2323,udp,ssh,SH
192.168.1.54,107.142.134.160,0.0063415195110739,116.2531130577858,0.0,3,0,56536,443,udp,ssl,S0
192.168.1.42,14.143.168.225,4.689197140188667,42.33908170294995,66.12720102697085,3,2,24041,80,icmp,http,RSTR
192.168.1.106,142.32.7.37,0.2966568258238612,151.7024411459563,0.0,2,0,46665,2323,tcp,http,S0
192.168.1.168,218.13.74.96,0.0609097878238213,138.97820855681553,0.0,4,0,36307,443,icmp,dhcp,S0
192.168.1.17,58.155.237.213,10.0659724368699,170.8928335785646,114.20939521612944,3,3,36965,8080,udp,dhcp,SF
192.168.1.89,71.34.147.138,0.9615863015836068,150.3602226939364,216.53876661123476,3,3,30879,53,udp,ssh,RSTO
192.168.1.29,111.63.146.13,0.039562746978779,132.66760782671736,0.0,2,0,2224,443,icmp,dhcp,S0
192.168.1.218,13.1.40.16,0.554753953161594,2015.469485156934,518.5241827389871,7,33,31646,23,icmp,dns,S0
192.168.1.31,144.96.79.99,3.8249447072159697,97.97213660284883,349.23199070292117,2,2,38869,2323,icmp,-,RSTR
192.168.1.174,10.0.0.20,0.0077371058600392,1043.6809191303344,40.26553258600523,61,0,14513,53,udp,ssh,RSTO
192.168.1.171,183.233.154.203,2.433721949882433,498.0694568765694,275.6238842957368,3,2,8933,22,tcp,dns,RSTO
192.168.1.185,54.110.177.112,0.0107343004624886,140.83780194337248,0.0,4,0,12637,53,tcp,http,S0
192.168.1.236,164.145.240.179,2.7707227503491527,749.6542913810084,29.150077227790092,3,3,46399,8080,udp,dhcp,RSTO
192.168.1.41,10.0.0.15,0.0078312568375297,1225.3739661494574,54.676931717654334,54,3,29332,8080,tcp,http,RSTR
192.168.1.170,10.0.0.15,0.0011984627212823,1224.3632500007373,45.40908936445414,44,3,46120,53,udp,dns,RSTR
192.168.1.94,255.80.189.229,0.066622774575635,178.28502525224826,0.0,3,0,17502,53,icmp,-,S0
192.168.1.104,231.6.126.245,11.458266516983969,490.06198078655615,74.91890035172867,4,2,13528,443,udp,dhcp,RSTO
192.168.1.48,149.216.41.129,0.1248322861890117,127.39642541030634,0.0,3,0,64912,2323,icmp,dns,S0
192.168.1.156,67.183.163.167,4.927019769267683,968.6153826032728,9049.920271911296,5,27,51156,2323,udp,-,SH
192.168.1.202,10.0.0.20,0.0183235636584838,1282.6994389117317,57.978026730494165,29,2,25310,2323,udp,dns,S0
192.168.1.200,11.44.120.43,0.0583125805661264,134.87818142365376,0.0,4,0,62693,22,udp,-,S0
192.168.1.24,151.42.132.106,13.063168257080957,59.908201753856645,487.1761326736497,5,10,25277,22,udp,dns,SH
192.168.1.238,19.76.108.147,0.4258480371404739,1013.2530264659792,323.6212507021786,15,49,31182,80,icmp,-,REJ
192.168.1.121,113.24.227.101,9.909867500789174,85.66631793356987,220.03734857996173,2,2,29402,22,icmp,ssl,SF
192.168.1.121,179.16.34.241,12.373252126684983,55.490180785125695,399.73350531141335,3,1,48916,22,udp,http,SH
192.168.1.123,104.53.20.243,0.0183939914923157,138.79103697020952,0.0,3,0,53355,443,icmp,dns,S0
192.168.1.86,159.135.28.232,15.910048502604043,126.88205120068106,700.052298640189,1,8,13250,8080,icmp,dns,S0
192.168.1.205,10.0.0.20,0.0042341353449396,1106.0594216199484,47.659801408930186,69,0,25758,80,icmp,ssh,SF
192.168.1.181,69.90.199.99,0.1292171761613173,154.84604549327696,0.0,1,0,57894,2323,udp,dns,S0
192.168.1.124,87.56.129.30,0.0418893149231649,150.56157548095982,0.0,1,0,45746,22,tcp,dhcp,S0
192.168.1.200,97.96.116.90,0.0780919498219999,148.38165324674625,0.0,2,0,18067,443,udp,-,S0
192.168.1.170,90.179.62.224,0.0320949692690841,194.21046003182704,0.0,3,0,62097,53,udp,http,S0
192.168.1.219,10.0.0.10,0.0045941542471977,1252.839281186772,45.39923745866501,72,4,26207,53,udp,-,RSTO
192.168.1.160,191.221.195.218,1.3112795092716114,1752.1621113052618,903.0193149633536,11,6,26266,443,icmp,http,RSTR
192.168.1.215,75.214.206.231,0.0002326109428005,116.69381842644724,0.0,1,0,12825,80,icmp,-,S0
192.168.1.76,252.55.122.77,4.037806023025477,3541.960910878891,6615.032677462572,16,75,27168,80,icmp,dns,SF
192.168.1.79,175.43.153.181,0.0148927246773873,163.00919921475395,0.0,2,0,6018,2323,icmp,http,S0
192.168.1.167,10.0.0.10,0.0077804837096725,1177.6534017628148,46.506832038818025,73,0,47757,53,udp,dhcp,RSTR
192.168.1.154,10.0.0.15,0.0204468018010243,1104.6671391741288,47.08188731084456,67,3,55152,2323,tcp,dhcp,RSTO
192.168.1.225,155.73.189.39,2.3630789201678586,554.4716908425972,5053.501265118298,9,67,60638,80,icmp,dns,SH
192.168.1.27,166.242.247.185,0.065707535559935,145.82079025335938,0.0,3,0,10980,22,icmp,ssh,S0
192.168.1.162,26.22.52.45,0.3419499560525408,145.05344533844354,0.0,1,0,45977,53,tcp,ssl,S0
192.168.1.147,224.89.160.239,0.6824233336465612,61.829571089545475,37.233178875959254,5,7,11191,53,udp,http,RSTO
192.168.1.65,10.0.0.10,0.0054087422702939,1093.2467085745727,39.3760647185312,68,2,10776,53,icmp,dhcp,SF
192.168.1.69,191.60.76.7,3.913711031816166,30.58406870071129,22.93463408833652,2,4,57843,2323,udp,-,REJ
192.168.1.43,10.0.0.20,0.0004614936523172,1175.4930381683664,41.16842754903523,77,3,44025,22,tcp,-,SH
192.168.1.115,71.53.68.250,0.0698729617097775,146.31708368633596,0.0,1,0,56768,22,tcp,http,S0
192.168.1.106,249.77.98.5,7.672135943067317,480.7190999960779,363.06347427626025,1,2,21046,53,tcp,-,S0
192.168.1.81,57.130.13.0,3.719420387367803,72.32483810277128,312.6252887654365,3,2,24690,443,tcp,-,REJ
192.168.1.143,58.232.204.148,1.4154450075426903,680.1544155660581,11783.924039535072,11,34,4273,2323,icmp,-,SF
192.168.1.64,118.86.175.115,0.1663647722996086,186.62917531708703,0.0,4,0,47342,80,icmp,http,S0
